n,annee,mois,rubrique
8224,1944,12,culture
5967,1944,12,inclassable
43753,1944,12,international
27352,1944,12,politique
418,1944,12,science/technologie
2737,1944,12,"société"
113,1944,12,sport
4508,1944,12,"économie"
16448,1945,1,culture
15054,1945,1,inclassable
98342,1945,1,international
45607,1945,1,politique
1145,1945,1,science/technologie
5861,1945,1,"société"
635,1945,1,sport
11868,1945,1,"économie"
17499,1945,2,culture
14729,1945,2,inclassable
101758,1945,2,international
35910,1945,2,politique
2185,1945,2,science/technologie
7027,1945,2,"société"
853,1945,2,sport
10258,1945,2,"économie"
20100,1945,3,culture
14436,1945,3,inclassable
110344,1945,3,international
66577,1945,3,politique
1002,1945,3,science/technologie
6527,1945,3,"société"
1097,1945,3,sport
14178,1945,3,"économie"
13541,1945,4,culture
16711,1945,4,inclassable
135917,1945,4,international
37957,1945,4,politique
837,1945,4,science/technologie
7257,1945,4,"société"
1711,1945,4,sport
8163,1945,4,"économie"
21593,1945,5,culture
12180,1945,5,inclassable
147248,1945,5,international
41293,1945,5,politique
120,1945,5,science/technologie
6888,1945,5,"société"
2194,1945,5,sport
12183,1945,5,"économie"
18915,1945,6,culture
17092,1945,6,inclassable
146231,1945,6,international
50018,1945,6,politique
943,1945,6,science/technologie
8415,1945,6,"société"
1504,1945,6,sport
12551,1945,6,"économie"
31926,1945,7,culture
10691,1945,7,inclassable
127458,1945,7,international
85745,1945,7,politique
2178,1945,7,science/technologie
12115,1945,7,"société"
1288,1945,7,sport
15525,1945,7,"économie"
16190,1945,8,culture
9660,1945,8,inclassable
118441,1945,8,international
106344,1945,8,politique
5629,1945,8,science/technologie
12136,1945,8,"société"
1294,1945,8,sport
10107,1945,8,"économie"
35308,1945,9,culture
16011,1945,9,inclassable
135120,1945,9,international
55938,1945,9,politique
2671,1945,9,science/technologie
22619,1945,9,"société"
3185,1945,9,sport
15847,1945,9,"économie"
35552,1945,10,culture
16211,1945,10,inclassable
117964,1945,10,international
81728,1945,10,politique
5025,1945,10,science/technologie
20291,1945,10,"société"
2727,1945,10,sport
16934,1945,10,"économie"
45524,1945,11,culture
16613,1945,11,inclassable
135129,1945,11,international
85112,1945,11,politique
3115,1945,11,science/technologie
19499,1945,11,"société"
4088,1945,11,sport
14767,1945,11,"économie"
45332,1945,12,culture
12057,1945,12,inclassable
144528,1945,12,international
87400,1945,12,politique
6316,1945,12,science/technologie
20840,1945,12,"société"
6705,1945,12,sport
28695,1945,12,"économie"
37010,1946,1,culture
13382,1946,1,inclassable
113733,1946,1,international
81131,1946,1,politique
3509,1946,1,science/technologie
16636,1946,1,"société"
4960,1946,1,sport
29665,1946,1,"économie"
43286,1946,2,culture
10204,1946,2,inclassable
119431,1946,2,international
79224,1946,2,politique
5015,1946,2,science/technologie
13976,1946,2,"société"
6331,1946,2,sport
25189,1946,2,"économie"
35641,1946,3,culture
11958,1946,3,inclassable
136444,1946,3,international
87634,1946,3,politique
3379,1946,3,science/technologie
17416,1946,3,"société"
6205,1946,3,sport
18847,1946,3,"économie"
31732,1946,4,culture
9584,1946,4,inclassable
123333,1946,4,international
109758,1946,4,politique
6021,1946,4,science/technologie
13378,1946,4,"société"
6557,1946,4,sport
19757,1946,4,"économie"
38106,1946,5,culture
10915,1946,5,inclassable
143561,1946,5,international
79461,1946,5,politique
5218,1946,5,science/technologie
17810,1946,5,"société"
7480,1946,5,sport
17403,1946,5,"économie"
51138,1946,6,culture
