n,annee,mois,rubrique
6724,1944,12,culture
5094,1944,12,inclassable
37960,1944,12,international
23166,1944,12,politique
365,1944,12,science/technologie
2307,1944,12,"société"
85,1944,12,sport
3814,1944,12,"économie"
13478,1945,1,culture
12777,1945,1,inclassable
85259,1945,1,international
38725,1945,1,politique
983,1945,1,science/technologie
4938,1945,1,"société"
515,1945,1,sport
10250,1945,1,"économie"
14194,1945,2,culture
12619,1945,2,inclassable
88070,1945,2,international
30825,1945,2,politique
1870,1945,2,science/technologie
5851,1945,2,"société"
643,1945,2,sport
8835,1945,2,"économie"
16591,1945,3,culture
12324,1945,3,inclassable
95525,1945,3,international
57241,1945,3,politique
843,1945,3,science/technologie
5468,1945,3,"société"
847,1945,3,sport
12244,1945,3,"économie"
11239,1945,4,culture
14104,1945,4,inclassable
117435,1945,4,international
32116,1945,4,politique
721,1945,4,science/technologie
5971,1945,4,"société"
1345,1945,4,sport
6964,1945,4,"économie"
17777,1945,5,culture
10356,1945,5,inclassable
127283,1945,5,international
35078,1945,5,politique
95,1945,5,science/technologie
5809,1945,5,"société"
1699,1945,5,sport
10569,1945,5,"économie"
15600,1945,6,culture
14387,1945,6,inclassable
127376,1945,6,international
42835,1945,6,politique
783,1945,6,science/technologie
7106,1945,6,"société"
1160,1945,6,sport
10834,1945,6,"économie"
26423,1945,7,culture
8846,1945,7,inclassable
110634,1945,7,international
72860,1945,7,politique
1847,1945,7,science/technologie
10259,1945,7,"société"
1063,1945,7,sport
13370,1945,7,"économie"
13501,1945,8,culture
8290,1945,8,inclassable
103197,1945,8,international
90054,1945,8,politique
4886,1945,8,science/technologie
10280,1945,8,"société"
1024,1945,8,sport
8556,1945,8,"économie"
29427,1945,9,culture
13412,1945,9,inclassable
117815,1945,9,international
47934,1945,9,politique
2343,1945,9,science/technologie
19317,1945,9,"société"
2632,1945,9,sport
13612,1945,9,"économie"
29351,1945,10,culture
13760,1945,10,inclassable
103278,1945,10,international
70006,1945,10,politique
4219,1945,10,science/technologie
17320,1945,10,"société"
2147,1945,10,sport
14639,1945,10,"économie"
37777,1945,11,culture
14025,1945,11,inclassable
117702,1945,11,international
73227,1945,11,politique
2687,1945,11,science/technologie
16717,1945,11,"société"
3197,1945,11,sport
12657,1945,11,"économie"
37814,1945,12,culture
10132,1945,12,inclassable
126060,1945,12,international
75052,1945,12,politique
5350,1945,12,science/technologie
17783,1945,12,"société"
5435,1945,12,sport
24878,1945,12,"économie"
31020,1946,1,culture
11366,1946,1,inclassable
99380,1946,1,international
69713,1946,1,politique
3037,1946,1,science/technologie
14184,1946,1,"société"
4081,1946,1,sport
25719,1946,1,"économie"
36324,1946,2,culture
8644,1946,2,inclassable
104148,1946,2,international
68235,1946,2,politique
4253,1946,2,science/technologie
11899,1946,2,"société"
5193,1946,2,sport
21635,1946,2,"économie"
29618,1946,3,culture
10041,1946,3,inclassable
119058,1946,3,international
75487,1946,3,politique
2898,1946,3,science/technologie
14859,1946,3,"société"
4980,1946,3,sport
16334,1946,3,"économie"
26458,1946,4,culture
8230,1946,4,inclassable
107807,1946,4,international
94433,1946,4,politique
5088,1946,4,science/technologie
11453,1946,4,"société"
5436,1946,4,sport
17105,1946,4,"économie"
31606,1946,5,culture
9248,1946,5,inclassable
125262,1946,5,international
68044,1946,5,politique
4470,1946,5,science/technologie
15111,1946,5,"société"
6086,1946,5,sport
15026,1946,5,"économie"
42647,1946,6,culture
10702,1946,6,inclassable
114636,1946,6,international
71216,1946,6,politique
3974,1946,6,science/technologie
16535,1946,6,"société"
10478,1946,6,sport
19999,1946,6,"économie"
45560,1946,7,culture
15113,1946,7,inclassable
143703,1946,7,international
97500,1946,7,politique
6672,1946,7,science/technologie
24489,1946,7,"société"
15255,1946,7,sport
38327,1946,7,"économie"
40390,1946,8,culture
20377,1946,8,inclassable
189187,1946,8,international
100282,1946,8,politique
5762,1946,8,science/technologie
30938,1946,8,"société"
12328,1946,8,sport
27848,1946,8,"économie"
32280,1946,9,culture
31177,1946,9,inclassable
138886,1946,9,international
106898,1946,9,politique
1196,1946,9,science/technologie
13995,1946,9,"société"
9288,1946,9,sport
20857,1946,9,"économie"
43232,1946,10,culture
10874,1946,10,inclassable
144468,1946,10,international
103107,1946,10,politique
5919,1946,10,science/technologie
19357,1946,10,"société"
9661,1946,10,sport
24468,1946,10,"économie"
38746,1946,11,culture
15063,1946,11,inclassable
129554,1946,11,international
86859,1946,11,politique
5241,1946,11,science/technologie
21683,1946,11,"société"
7686,1946,11,sport
26429,1946,11,"économie"
42276,1946,12,culture
11270,1946,12,inclassable
132006,1946,12,international
80140,1946,12,politique
4959,1946,12,science/technologie
20838,1946,12,"société"
8883,1946,12,sport
28695,1946,12,"économie"
33480,1947,1,culture
7676,1947,1,inclassable
104277,1947,1,international
85509,1947,1,politique
2565,1947,1,science/technologie
14930,1947,1,"société"
7095,1947,1,sport
34162,1947,1,"économie"
16154,1947,2,culture
5849,1947,2,inclassable
63223,1947,2,international
39888,1947,2,politique
4360,1947,2,science/technologie
8551,1947,2,"société"
5487,1947,2,sport
12492,1947,2,"économie"
16135,1947,3,culture
4799,1947,3,inclassable
55821,1947,3,international
52450,1947,3,politique
2830,1947,3,science/technologie
7215,1947,3,"société"
3991,1947,3,sport
10150,1947,3,"économie"
44130,1947,4,culture
19786,1947,4,inclassable
140728,1947,4,international
81625,1947,4,politique
4107,1947,4,science/technologie
22535,1947,4,"société"
10562,1947,4,sport
20331,1947,4,"économie"
43415,1947,5,culture
13915,1947,5,inclassable
116233,1947,5,international
