"date","dewey_nom","n"
"1380","Économie et société",1
"1519","Économie et société",1
"1519","Généralités",1
"1537","Littérature",1
"1538","Économie et société",1
"1542","Littérature",1
"1544","Économie et société",1
"1545","Histoire et géographie",1
"1546","Littérature",1
"1547","Littérature",1
"1549","Économie et société",1
"1550","Économie et société",2
"1550","Histoire et géographie",2
"1550","Littérature",1
"1551","Économie et société",4
"1552","Économie et société",4
"1552","Littérature",2
"1554","Histoire et géographie",1
"1556","Économie et société",1
"1556","Littérature",1
"1557","Philosophie et psychologie",1
"1559","Arts et loisirs",1
"1561","Religion",1
"1562","Économie et société",4
"1563","Économie et société",6
"1564","Économie et société",1
"1566","Économie et société",5
"1567","Économie et société",10
"1568","Langues",1
"1569","Arts et loisirs",1
"1569","Économie et société",3
"1569","Littérature",1
"1570","Histoire et géographie",1
"1570","Philosophie et psychologie",1
"1571","Économie et société",1
"1571","Religion",1
"1572","Littérature",2
"1573","Histoire et géographie",1
"1573","Littérature",1
"1573","N/A",1
"1574","Histoire et géographie",1
"1574","Littérature",1
"1574","N/A",2
"1576","Économie et société",1
"1576","Littérature",1
"1578","Économie et société",1
"1580","Techniques",1
"1581","Économie et société",8
"1581","Histoire et géographie",1
"1581","Littérature",1
"1581","Sciences",1
"1582","Économie et société",1
"1583","Économie et société",1
"1584","Économie et société",1
"1585","Économie et société",4
"1586","Économie et société",1
"1586","Littérature",1
"1587","Économie et société",1
"1587","Littérature",4
"1588","Économie et société",1
"1588","Histoire et géographie",4
"1588","Littérature",2
"1588","Religion",1
"1589","Histoire et géographie",17
"1589","N/A",1
"1590","Histoire et géographie",7
"1590","N/A",1
"1591","Économie et société",1
"1592","Sciences",1
"1593","Histoire et géographie",2
"1593","Littérature",1
"1595","Économie et société",5
"1596","Économie et société",4
"1596","Sciences",1
"1597","Économie et société",7
"1597","Littérature",2
"1597","Sciences",2
"1598","Littérature",1
"1599","Généralités",1
"1599","Histoire et géographie",2
"1599","N/A",1
"1600","Économie et société",3
"1600","Généralités",1
"1600","Histoire et géographie",2
"1600","Littérature",1
"1601","Arts et loisirs",2
"1601","Économie et société",9
"1601","Histoire et géographie",2
"1601","Littérature",10
"1601","Religion",1
"1602","Économie et société",34
"1602","Littérature",3
"1602","Religion",1
"1602","Sciences",1
"1603","Économie et société",13
"1603","Histoire et géographie",2
"1603","Littérature",2
"1603","Religion",2
"1604","Arts et loisirs",1
"1604","Économie et société",28
"1604","Histoire et géographie",3
"1604","Littérature",7
"1604","Techniques",1
"1605","Économie et société",20
"1605","Langues",1
"1605","Littérature",6
"1605","Religion",1
"1605","Techniques",1
"1606","Économie et société",17
"1606","Histoire et géographie",2
"1606","Langues",1
"1606","Littérature",7
"1607","Économie et société",27
"1607","Histoire et géographie",3
"1607","Littérature",3
"1607","N/A",2
"1607","Religion",1
"1607","Sciences",2
"1608","Arts et loisirs",1
"1608","Économie et société",19
"1608","Histoire et géographie",11
"1608","Littérature",10
"1608","N/A",2
"1608","Religion",8
"1608","Techniques",1
"1609","Arts et loisirs",1
"1609","Économie et société",50
"1609","Histoire et géographie",8
"1609","Littérature",14
"1609","N/A",1
"1609","Religion",2
"1609","Techniques",1
"1610","Arts et loisirs",1
"1610","Économie et société",37
"1610","Généralités",1
"1610","Histoire et géographie",6
"1610","Langues",1
"1610","Littérature",31
"1610","N/A",1
"1610","Philosophie et psychologie",1
"1610","Religion",4
"1611","Économie et société",25
"1611","Histoire et géographie",8
"1611","Littérature",23
"1611","Religion",3
"1612","Arts et loisirs",3
"1612","Économie et société",23
"1612","Histoire et géographie",10
"1612","Littérature",10
"1612","N/A",1
"1612","Philosophie et psychologie",2
"1612","Sciences",1
"1613","Économie et société",20
"1613","Histoire et géographie",3
"1613","Littérature",6
"1613","Religion",3
"1614","Économie et société",8
"1614","Généralités",4
"1614","Histoire et géographie",3
"1614","Littérature",23
"1614","Philosophie et psychologie",1
"1614","Religion",4
"1614","Sciences",1
"1615","Arts et loisirs",3
"1615","Économie et société",26
"1615","Généralités",1
"1615","Histoire et géographie",11
"1615","Langues",2
"1615","Littérature",12
"1615","N/A",1
"1615","Religion",2
"1615","Techniques",1
"1616","Arts et loisirs",1
"1616","Économie et société",54
"1616","Langues",1
"1616","Littérature",22
"1616","Religion",2
"1617","Arts et loisirs",2
"1617","Économie et société",71
"1617","Généralités",1
"1617","Histoire et géographie",7
"1617","Langues",1
"1617","Littérature",23
"1617","N/A",2
"1617","Philosophie et psychologie",1
"1617","Religion",2
"1617","Techniques",1
"1618","Économie et société",18
"1618","Histoire et géographie",8
"1618","Littérature",9
"1618","Philosophie et psychologie",1
"1618","Religion",5
"1619","Arts et loisirs",2
"1619","Économie et société",35
"1619","Histoire et géographie",9
"1619","Littérature",9
"1619","N/A",1
"1619","Philosophie et psychologie",2
"1619","Religion",3
"1619","Sciences",1
"1619","Techniques",1
"1620","Économie et société",69
"1620","Généralités",1
"1620","Histoire et géographie",7
"1620","Littérature",26
"1620","Philosophie et psychologie",1
"1620","Religion",2
"1620","Sciences",3
"1620","Techniques",1
"1621","Économie et société",52
"1621","Généralités",3
"1621","Histoire et géographie",4
"1621","Littérature",18
"1621","Religion",3
"1621","Sciences",4
"1621","Techniques",1
"1622","Arts et loisirs",1
"1622","Économie et société",44
"1622","Histoire et géographie",5
"1622","Littérature",27
"1622","Religion",1
"1622","Techniques",2
"1623","Économie et société",44
"1623","Histoire et géographie",6
"1623","Littérature",14
"1623","N/A",1
"1623","Religion",1
"1624","Économie et société",41
"1624","Généralités",2
"1624","Histoire et géographie",3
"1624","Littérature",20
"1624","Philosophie et psychologie",5
"1624","Religion",1
"1624","Sciences",1
"1625","Arts et loisirs",3
"1625","Économie et société",32
"1625","Histoire et géographie",11
"1625","Littérature",12
"1625","Philosophie et psychologie",1
"1625","Religion",3
"1625","Techniques",1
"1626","Arts et loisirs",5
"1626","Économie et société",90
"1626","Généralités",1
"1626","Histoire et géographie",10
"1626","Littérature",15
"1626","N/A",1
"1626","Philosophie et psychologie",1
"1626","Religion",6
"1626","Sciences",1
"1627","Arts et loisirs",2
"1627","Économie et société",112
"1627","Généralités",1
"1627","Histoire et géographie",5
"1627","Littérature",19
"1627","N/A",1
"1627","Religion",1
"1627","Techniques",2
"1628","Arts et loisirs",1
"1628","Économie et société",43
"1628","Généralités",1
"1628","Histoire et géographie",5
"1628","Langues",1
"1628","Littérature",25
"1628","Religion",3
"1629","Économie et société",53
"1629","Histoire et géographie",3
"1629","Langues",1
"1629","Littérature",16
"1629","N/A",1
"1629","Philosophie et psychologie",1
"1629","Religion",2
"1629","Sciences",1
"1629","Techniques",1
"1630","Économie et société",46
"1630","Généralités",2
"1630","Histoire et géographie",7
"1630","Littérature",17
"1630","Philosophie et psychologie",1
"1630","Sciences",4
"1630","Techniques",1
"1631","Arts et loisirs",1
"1631","Économie et société",23
"1631","Généralités",1
"1631","Histoire et géographie",3
"1631","Littérature",20
"1631","Philosophie et psychologie",2
"1631","Religion",5
"1631","Sciences",1
"1631","Techniques",1
"1632","Arts et loisirs",1
"1632","Économie et société",44
"1632","Histoire et géographie",13
"1632","Littérature",13
"1632","Religion",1
"1633","Arts et loisirs",2
"1633","Économie et société",69
"1633","Histoire et géographie",22
"1633","Littérature",13
"1633","N/A",1
"1633","Religion",3
"1634","Arts et loisirs",1
"1634","Économie et société",100
"1634","Histoire et géographie",6
"1634","Littérature",11
"1634","Philosophie et psychologie",1
"1634","Religion",4
"1634","Sciences",1
"1635","Économie et société",118
"1635","Histoire et géographie",4
"1635","Langues",1
"1635","Littérature",9
"1635","Religion",6
"1635","Sciences",1
"1635","Techniques",3
"1636","Arts et loisirs",2
"1636","Économie et société",111
"1636","Généralités",1
"1636","Histoire et géographie",6
"1636","Littérature",15
"1636","N/A",4
"1636","Religion",1
"1637","Économie et société",34
"1637","Généralités",1
"1637","Histoire et géographie",6
"1637","Langues",1
"1637","Littérature",12
"1637","Philosophie et psychologie",1
"1637","Religion",3
"1637","Sciences",1
"1638","Arts et loisirs",3
"1638","Économie et société",33
"1638","Histoire et géographie",2
"1638","Langues",1
"1638","Littérature",13
"1638","Religion",5
"1639","Économie et société",49
"1639","Généralités",1
"1639","Histoire et géographie",3
"1639","Langues",1
"1639","Littérature",18
"1639","Philosophie et psychologie",4
"1639","Religion",7
"1639","Sciences",1
"1639","Techniques",1
"1640","Arts et loisirs",2
"1640","Économie et société",37
"1640","Histoire et géographie",2
"1640","Littérature",19
"1640","N/A",1
"1640","Religion",7
"1640","Sciences",1
"1640","Techniques",1
"1641","Économie et société",21
"1641","Histoire et géographie",7
"1641","Littérature",11
"1641","Philosophie et psychologie",1
"1641","Religion",7
"1641","Techniques",2
"1642","Arts et loisirs",2
"1642","Économie et société",12
"1642","Généralités",1
"1642","Histoire et géographie",3
"1642","Littérature",19
"1642","Philosophie et psychologie",2
"1642","Religion",11
"1643","Arts et loisirs",2
"1643","Économie et société",30
"1643","Histoire et géographie",7
"1643","Langues",1
"1643","Littérature",19
"1643","N/A",1
"1643","Philosophie et psychologie",3
"1643","Religion",12
"1643","Techniques",6
"1644","Économie et société",23
"1644","Histoire et géographie",6
"1644","Langues",4
"1644","Littérature",7
"1644","Philosophie et psychologie",1
"1644","Religion",8
"1644","Sciences",1
"1645","Arts et loisirs",2
"1645","Économie et société",20
"1645","Généralités",1
"1645","Histoire et géographie",7
"1645","Langues",2
"1645","Littérature",8
"1645","Philosophie et psychologie",1
"1645","Religion",12
"1645","Sciences",2
"1645","Techniques",1
"1646","Arts et loisirs",1
"1646","Économie et société",10
"1646","Histoire et géographie",8
"1646","Littérature",7
"1646","Religion",9
"1647","Arts et loisirs",2
"1647","Économie et société",12
"1647","Histoire et géographie",6
"1647","Langues",3
"1647","Littérature",11
"1647","Religion",5
"1647","Techniques",3
"1648","Arts et loisirs",2
"1648","Économie et société",4
"1648","Histoire et géographie",3
"1648","Littérature",20
"1648","Philosophie et psychologie",3
"1648","Religion",8
"1648","Sciences",1
"1649","Arts et loisirs",3
"1649","Économie et société",10
"1649","Généralités",1
"1649","Histoire et géographie",20
"1649","Langues",11
"1649","Littérature",245
"1649","N/A",3
"1649","Religion",16
"1649","Sciences",2
"1650","Arts et loisirs",1
"1650","Économie et société",14
"1650","Histoire et géographie",9
"1650","Langues",2
"1650","Littérature",45
"1650","N/A",3
"1650","Philosophie et psychologie",2
"1650","Religion",7
"1650","Sciences",1
"1651","Arts et loisirs",2
"1651","Économie et société",7
"1651","Généralités",1
"1651","Histoire et géographie",6
"1651","Langues",2
"1651","Littérature",41
"1651","N/A",1
"1651","Philosophie et psychologie",5
"1651","Religion",13
"1651","Sciences",1
"1651","Techniques",1
"1652","Arts et loisirs",2
"1652","Économie et société",15
"1652","Généralités",1
"1652","Histoire et géographie",7
"1652","Langues",2
"1652","Littérature",60
"1652","N/A",1
"1652","Philosophie et psychologie",1
"1652","Religion",12
"1652","Techniques",1
"1653","Arts et loisirs",1
"1653","Économie et société",14
"1653","Généralités",1
"1653","Histoire et géographie",4
"1653","Littérature",9
"1653","Religion",11
"1653","Sciences",1
"1654","Arts et loisirs",2
"1654","Économie et société",13
"1654","Histoire et géographie",4
"1654","Littérature",20
"1654","Religion",7
"1654","Sciences",3
"1654","Techniques",1
"1655","Arts et loisirs",1
"1655","Économie et société",6
"1655","Histoire et géographie",1
"1655","Langues",2
"1655","Littérature",11
"1655","N/A",1
"1655","Philosophie et psychologie",3
