"Titre du journal","Date de publication","Contexte gauche","Pivot","Contexte droit"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","FRAGMENT SUR V Inflience d-s DiJJîderis Anglols sur la","liberté","civile & religiçufe de VAngleterre"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","Williams convient d'abord que les Angloîs doivent une grande partie de leur","liberté","civile & religieuse aux efforts opposés par les dissidens à la tyrannie, foit du Clergé, foi t du Gocvernement"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f1.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","Tcbferver, qu'en donnant la","liberté","de ne s'abonner que par trimeflre, nous n'avons pas offert celle de s'abonner à des époques arbitraires, ce qui, par L'entrelacement des dattes, rendroit la diflribution d'une Feuille vraiment impraticable"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","482 ) souvent nui à la cause de la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","favoriféles efforts & les réclamations de la","liberté","en Amérique , en IrUndt- ôten Angleterre , leur a mérité de la part du Public une confiance qui a eu les fuites les plus avantageuses"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","Le Lord North s'associoit avec les partisans de la","liberté",", après en avoir été Je persécuteur"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f3.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","467 ) Ddd 2 mes célebres auxquels la","liberté","doit ce grand fuecès, que l'esclavage a été aboli dans plufteurs Etats de la nouvelle Republique., Les Ecrits du Dodeur Francklin, de l'Abbé Raynal & de M. Payne n'ont pas peu contribué à opérer cette heureuse révolution dans les sentimens"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f19.image.r=libertés' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","car au fond il n'étoit question ni de vraies prérogatives de la Couronne , ni des","libertés","du peuple"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","La dissolution du Parlement, faite uniquement pour affurer une majorité à son Minittere , afin que le Roi pût tout aussi facilement faire qu'exécuter les loix, étoit une violation de la constitution , & un coup fatal porté à la","liberté","de l'Angleterre"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364615/f10.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-31","elle a pensé qu'elle trouveroit pour le succès de son dessein un concours énergique dans la Nation Françoise, où tant d'individus estimables joignent aux connoissances philosophiques & politiques un véritable amour de la","liberté",", & le refpeft pour la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","ocial, on' dittingue la","liberté","civile & la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","civile & la","liberté","politique"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","La","liberté","politique cil le droit d'influer dans le Gouvernement"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","Ainsi l'on leUt dire que la","liberté","politique n'existe pas pour ceux que la naissance ou la fortune I exclut du droit de voter dans l'élection des MemJ bres du Gouvernement législatif"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","Ainsi plus grande est la","liberté","politique, plus grande est la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","politique, plus grande est la","liberté","civile"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","Dès qu'un Régent s'embarasse peu de plaire au peuple, la","liberté","naturelle & civile est plus ou moins en danger : car dès lors il se soucie moins d'écourer les requêtes des particuliers, & sur-touc celles de"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","I La","liberté","politique & civile ont tant de rapports l'une avec l'autre, qu'il nest pas étonnant qu'on les ait confondues"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","Mais le sentiment de la","liberté","civile & politique , donne m l'homme"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","La","liberté","influe sur le crédit, ainsi que sur le génie des Nations"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536156t/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-06-24","Ce ne font que les noms de Republique, de","liberté",", d'égalité, qui nous ont mérité la confiance des étrangers, & qui ont attiré dans ce pays une multitude de gens robustes & industrieux, qui ont suppléé à la foiblesse de la population nationale"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","M. de Lolme prétend que la graine de la","liberté","a germé depuis en Angleterre , parce qu'elle y avoit été femée, dès le"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","Comment peut-on appeller cela des semences de","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","On dira sans doute, ce qui est vrai, que ces effroyables excès de defpotifine rendirent le pouvoir arbitraire en horreur , & par-là conduisirent à la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","1s le cœur de l'homme qu'est caché le retrorr qui le pouffe j d'autant plus fortement à la","liberté",", qu'il est"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","Mais il i ne faut pas dire que cette injustice (oit le germe de là","liberté","qui en triomphe , non plus qu'un incendie n'efl le germe de l'inondation par laquelle on arrête ses ravages"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","avoir si la constitution d Angleterre a toujours renfermé le germe plus ou moins développé de la","liberté",", que de"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","C'est sur leur Parlement que les Membres de l'Empire Britannique ont fondé l'édifice de leur","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","Mais qu'est-ce que leur","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","Le plus grand nombre est afluj etti à des douanes encore plus funestes, par lesquelles on viole- le droit des citoyens, la","liberté","des voyageurs, l'usage des propriétés , & jusqu'à l'asyle sacré que doit offrir à chacun sa mairon"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","mais jusqu'à présent l'impuissance de ces réclamations prouve que la conm. tu'ion d'Angleterre n'a pas suffisamment assuré la","liberté","des hommes"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","y ait en Angleterre quelques bonnes Loix beaucoup plus favorables à la","liberté","que celles dé ia plupart des autres Etats de l'Europe, & qui ont fait la prospérité du pays"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","les meilleures peut-être qui exillent actuellement. z Celle de la","liberté","de la presse, qui est effectivement"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536604t/f9.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-03-24","Kk » mouth y Poole , Whitehaven , Huit, Greenock Si » Glàsgow , ou quelqu'un d'entr'eux, de la manière ex"" » primée ci-devanr, l'Importeur aura la","liberté","( jusqu'à » nouvel ordre ) de l'y faire entier & débarquer sans payer » aucun droi t"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Par exemple., la -","liberté","de la Presle, cette source inépuisable d'instruction , ce palladium sacré de la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","de la Presle, cette source inépuisable d'instruction , ce palladium sacré de la","liberté","nationale, qu'a t-elle de commun avec le"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Si l'on avoit donné à cette Assemblée , pour régler les publications littéraires, les mêmes pouvoirs qu'on lui a déférés pour régler le commerce , il auroit été nécessaire d'établir pour principe fondamental, que la","liberté","de la Presse resteroit inviolable , ainsi qu'il efl établi que l'impôt doit être général d:ws ses (Jté"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f22.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","c'est ici que l'on peut contempler l'heureux effet des loix angloises, l'effet de cette","liberté","qui couvre de son égide tous les individus, sur-tout ceux qui s'occupent du bien public"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f22.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","de cette","liberté","qui, jointe au bienfait de l'Imprimerie , a produit plus d'hommes instruits méthodiquement des droits des"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f22.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","de cette","liberté","qui, gardée soigneusement par ces hommes, fert de frein aux abus de l'autorité ou de la licence, qui dénonce, qui châtie les paissans criminels , qui fait rougir la nation elle-"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","il réside dans la","liberté","individuelle, dans la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","individuelle, dans la","liberté","de la Presse, & les nations maintenant effacées de la terre connoissoient peu la premiere, 8c ne jouissoient pas de la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","univerfeiie, dont la","liberté","de penser, de parler & d'écrire assure les progrès, donnera enfin l'exemple de l'amour de la paix, du renoncement à cette activité conquérante, qui transpose les hommes avant que la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f24.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Plus heureux les Angluis , & plus sûrement ils conserveront leur","liberté",", si le même citoyen qui mérita leurs éloges pour les feivices publics , peut être amené aux pieds des tribunaux pour les crimes dont il a"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f25.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Marquez le* erreurs, les fausses démarches des partifaas de la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f26.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Quelque adoucissement que semble apporter au reproche le motde légèretés, peut-il ne point paroître de la derniere indécence à côté de l'autre mot fléau i C'ell tout à la fois dénoncer comme calomniateurs deux hommes eflimables, & calomnier, dans la","liberté","de la presse, une vérité qui n'a plus pour ennemis que ceux qui en ont peur"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f12.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","naturellement à la réforme, non qu'elle foit préjudiciable à la","liberté",", mais parce qu'elle affecte leurs plans de richesse & d'influence"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f29.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Le Gazettier qui plaisante & cette morale 8c les amis de la","liberté",", qui prend la déferife de l'oppresseur, ne merite-te-t-il pas qu'on l'accuse d'être le fauteur de la corruption , de l'iniquité 6c du despotisme"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65364578/f30.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-01-15","Gazertier qui, sans aucun titre littéraire (à moins qu'il nappelle de ce nom le Pathos vraiment curieux débité par lui dans une chaise d'éloquence d'Allemagne ) infulre à des Auteurs dont les nombreux travaux n'ont eu pour but que le bien de l'humanité, que l'extcnfion de la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f1.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","obsèrver, qu'en donnant la","liberté","de ne s abonner que par Trimejlre, nous n'avons pas offert celle de s'abonner à des époques arbitraires) ce qui, par tentrelacement des dettes , rendroic"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","dont on étoit coupable étoit la vraie cause de cet effroi, on craignoit » que rendus à la","liberté",", ces Nègres n'en abusassent"
