n,annee,mois,rubrique
11955,1944,12,culture
7964,1944,12,inclassable
57481,1944,12,international
37560,1944,12,politique
540,1944,12,science/technologie
3881,1944,12,"société"
199,1944,12,sport
6202,1944,12,"économie"
23659,1945,1,culture
20341,1945,1,inclassable
129717,1945,1,international
62045,1945,1,politique
1508,1945,1,science/technologie
8139,1945,1,"société"
957,1945,1,sport
15765,1945,1,"économie"
25752,1945,2,culture
19724,1945,2,inclassable
134761,1945,2,international
47930,1945,2,politique
2947,1945,2,science/technologie
10010,1945,2,"société"
1428,1945,2,sport
13558,1945,2,"économie"
28654,1945,3,culture
19455,1945,3,inclassable
145738,1945,3,international
88712,1945,3,politique
1358,1945,3,science/technologie
9194,1945,3,"société"
1819,1945,3,sport
18876,1945,3,"économie"
19170,1945,4,culture
23114,1945,4,inclassable
180247,1945,4,international
51875,1945,4,politique
1104,1945,4,science/technologie
10477,1945,4,"société"
2864,1945,4,sport
11121,1945,4,"économie"
30795,1945,5,culture
16547,1945,5,inclassable
195350,1945,5,international
56115,1945,5,politique
174,1945,5,science/technologie
9456,1945,5,"société"
3535,1945,5,sport
15945,1945,5,"économie"
27076,1945,6,culture
23539,1945,6,inclassable
191626,1945,6,international
66973,1945,6,politique
1325,1945,6,science/technologie
11522,1945,6,"société"
2423,1945,6,sport
16593,1945,6,"économie"
45487,1945,7,culture
15264,1945,7,inclassable
168020,1945,7,international
116538,1945,7,politique
2983,1945,7,science/technologie
16512,1945,7,"société"
1935,1945,7,sport
20686,1945,7,"économie"
22796,1945,8,culture
12897,1945,8,inclassable
154903,1945,8,international
145278,1945,8,politique
7398,1945,8,science/technologie
16627,1945,8,"société"
2059,1945,8,sport
14076,1945,8,"économie"
49504,1945,9,culture
22335,1945,9,inclassable
175830,1945,9,international
75240,1945,9,politique
3426,1945,9,science/technologie
30521,1945,9,"société"
4774,1945,9,sport
21298,1945,9,"économie"
50799,1945,10,culture
22148,1945,10,inclassable
152875,1945,10,international
109420,1945,10,politique
7009,1945,10,science/technologie
27410,1945,10,"société"
4474,1945,10,sport
22248,1945,10,"économie"
64479,1945,11,culture
22847,1945,11,inclassable
176456,1945,11,international
113265,1945,11,politique
4152,1945,11,science/technologie
26213,1945,11,"société"
6605,1945,11,sport
19909,1945,11,"économie"
63749,1945,12,culture
16623,1945,12,inclassable
188232,1945,12,international
117168,1945,12,politique
8659,1945,12,science/technologie
28270,1945,12,"société"
10199,1945,12,sport
37913,1945,12,"économie"
51460,1946,1,culture
18250,1946,1,inclassable
147790,1946,1,international
108291,1946,1,politique
4594,1946,1,science/technologie
22877,1946,1,"société"
7374,1946,1,sport
39103,1946,1,"économie"
59962,1946,2,culture
13932,1946,2,inclassable
155168,1946,2,international
104938,1946,2,politique
6863,1946,2,science/technologie
19082,1946,2,"société"
9324,1946,2,sport
33746,1946,2,"économie"
50339,1946,3,culture
16831,1946,3,inclassable
177203,1946,3,international
116232,1946,3,politique
4524,1946,3,science/technologie
23588,1946,3,"société"
9744,1946,3,sport
24826,1946,3,"économie"
44578,1946,4,culture
12792,1946,4,inclassable
159673,1946,4,international
145477,1946,4,politique
8239,1946,4,science/technologie
18003,1946,4,"société"
9375,1946,4,sport
25851,1946,4,"économie"
53913,1946,5,culture
14922,1946,5,inclassable
186133,1946,5,international
106526,1946,5,politique
6981,1946,5,science/technologie
24315,1946,5,"société"
11401,1946,5,sport
23029,1946,5,"économie"
71959,1946,6,culture
17258,1946,6,inclassable
169957,1946,6,international
110140,1946,6,politique
6326,1946,6,science/technologie
26670,1946,6,"société"
18355,1946,6,sport
31447,1946,6,"économie"
74694,1946,7,culture
24166,1946,7,inclassable
214738,1946,7,international
150261,1946,7,politique
10439,1946,7,science/technologie
38397,1946,7,"société"
26266,1946,7,sport
58420,1946,7,"économie"
