n,annee,mois,rubrique
5458,1944,12,culture
4328,1944,12,inclassable
32826,1944,12,international
19574,1944,12,politique
314,1944,12,science/technologie
1933,1944,12,"société"
66,1944,12,sport
3226,1944,12,"économie"
10966,1945,1,culture
10752,1945,1,inclassable
73646,1945,1,international
32850,1945,1,politique
840,1945,1,science/technologie
4142,1945,1,"société"
418,1945,1,sport
8834,1945,1,"économie"
11450,1945,2,culture
10771,1945,2,inclassable
75950,1945,2,international
26496,1945,2,politique
1601,1945,2,science/technologie
4874,1945,2,"société"
495,1945,2,sport
7573,1945,2,"économie"
13666,1945,3,culture
10490,1945,3,inclassable
82431,1945,3,international
49177,1945,3,politique
709,1945,3,science/technologie
4571,1945,3,"société"
650,1945,3,sport
10518,1945,3,"économie"
9301,1945,4,culture
11836,1945,4,inclassable
101218,1945,4,international
27116,1945,4,politique
619,1945,4,science/technologie
4921,1945,4,"société"
1071,1945,4,sport
5932,1945,4,"économie"
14571,1945,5,culture
8775,1945,5,inclassable
109713,1945,5,international
29793,1945,5,politique
78,1945,5,science/technologie
4878,1945,5,"société"
1341,1945,5,sport
9147,1945,5,"économie"
12788,1945,6,culture
12050,1945,6,inclassable
110680,1945,6,international
36674,1945,6,politique
640,1945,6,science/technologie
5995,1945,6,"société"
899,1945,6,sport
9293,1945,6,"économie"
21801,1945,7,culture
7276,1945,7,inclassable
95693,1945,7,international
61943,1945,7,politique
1553,1945,7,science/technologie
8672,1945,7,"société"
867,1945,7,sport
11489,1945,7,"économie"
11185,1945,8,culture
7092,1945,8,inclassable
89733,1945,8,international
76219,1945,8,politique
4221,1945,8,science/technologie
8665,1945,8,"société"
806,1945,8,sport
7229,1945,8,"économie"
24413,1945,9,culture
11196,1945,9,inclassable
102394,1945,9,international
41065,1945,9,politique
2046,1945,9,science/technologie
16444,1945,9,"société"
2159,1945,9,sport
11670,1945,9,"économie"
24172,1945,10,culture
11646,1945,10,inclassable
90200,1945,10,international
59920,1945,10,politique
3530,1945,10,science/technologie
14735,1945,10,"société"
1702,1945,10,sport
12596,1945,10,"économie"
31274,1945,11,culture
11819,1945,11,inclassable
102220,1945,11,international
63006,1945,11,politique
2300,1945,11,science/technologie
14290,1945,11,"société"
2514,1945,11,sport
10816,1945,11,"économie"
31430,1945,12,culture
8485,1945,12,inclassable
109694,1945,12,international
64415,1945,12,politique
4518,1945,12,science/technologie
15104,1945,12,"société"
4394,1945,12,sport
21533,1945,12,"économie"
25890,1946,1,culture
9635,1946,1,inclassable
86639,1946,1,international
59921,1946,1,politique
2622,1946,1,science/technologie
12087,1946,1,"société"
3369,1946,1,sport
22207,1946,1,"économie"
30358,1946,2,culture
7287,1946,2,inclassable
90656,1946,2,international
58798,1946,2,politique
3588,1946,2,science/technologie
10117,1946,2,"société"
4266,1946,2,sport
18503,1946,2,"économie"
24576,1946,3,culture
8406,1946,3,inclassable
103764,1946,3,international
65013,1946,3,politique
2480,1946,3,science/technologie
12635,1946,3,"société"
4002,1946,3,sport
14111,1946,3,"économie"
21999,1946,4,culture
7079,1946,4,inclassable
94029,1946,4,international
81199,1946,4,politique
4285,1946,4,science/technologie
9807,1946,4,"société"
4486,1946,4,sport
14751,1946,4,"économie"
26112,1946,5,culture
7823,1946,5,inclassable
109065,1946,5,international
58285,1946,5,politique
3809,1946,5,science/technologie
12801,1946,5,"société"
4958,1946,5,sport
12922,1946,5,"économie"
35507,1946,6,culture
9045,1946,6,inclassable
99966,1946,6,international
61228,1946,6,politique
3363,1946,6,science/technologie
14060,1946,6,"société"
8675,1946,6,sport
17116,1946,6,"économie"
38302,1946,7,culture
12842,1946,7,inclassable
124819,1946,7,international
83915,1946,7,politique
5683,1946,7,science/technologie
21023,1946,7,"société"
12730,1946,7,sport
33052,1946,7,"économie"
34389,1946,8,culture
17229,1946,8,inclassable
165314,1946,8,international
86365,1946,8,politique
4941,1946,8,science/technologie
26754,1946,8,"société"
10198,1946,8,sport
24050,1946,8,"économie"
27009,1946,9,culture
26215,1946,9,inclassable
120971,1946,9,international
92274,1946,9,politique
1022,1946,9,science/technologie
11953,1946,9,"société"
7677,1946,9,sport
17865,1946,9,"économie"
35959,1946,10,culture
9187,1946,10,inclassable
126079,1946,10,international
88449,1946,10,politique
5072,1946,10,science/technologie
16568,1946,10,"société"
7964,1946,10,sport
21113,1946,10,"économie"
32458,1946,11,culture
12435,1946,11,inclassable
113415,1946,11,international
74438,1946,11,politique
4352,1946,11,science/technologie
18599,1946,11,"société"
6386,1946,11,sport
22968,1946,11,"économie"
35172,1946,12,culture
9577,1946,12,inclassable
114839,1946,12,international
68592,1946,12,politique
4205,1946,12,science/technologie
17747,1946,12,"société"
7276,1946,12,sport
24556,1946,12,"économie"
27924,1947,1,culture
6471,1947,1,inclassable
91034,1947,1,international
73468,1947,1,politique
2193,1947,1,science/technologie
12788,1947,1,"société"
5785,1947,1,sport
29482,1947,1,"économie"
13401,1947,2,culture
4959,1947,2,inclassable
55042,1947,2,international
34524,1947,2,politique
3752,1947,2,science/technologie
7320,1947,2,"société"
4615,1947,2,sport
10915,1947,2,"économie"
13255,1947,3,culture
4047,1947,3,inclassable
48493,1947,3,international
45110,1947,3,politique
2433,1947,3,science/technologie
6131,1947,3,"société"
3290,1947,3,sport
8679,1947,3,"économie"
36867,1947,4,culture
16694,1947,4,inclassable
122236,1947,4,international
69822,1947,4,politique
3529,1947,4,science/technologie
19431,1947,4,"société"
8774,1947,4,sport
17488,1947,4,"économie"
36493,1947,5,culture
11624,1947,5,inclassable
101328,1947,5,international
75187,1947,5,politique
1291,1947,5,science/technologie
30682,1947,5,"société"
10212,1947,5,sport
19876,1947,5,"économie"
32839,1947,6,culture
4889,1947,6,inclassable
84460,1947,6,international
82678,1947,6,politique
4450,1947,6,science/technologie
29485,1947,6,"société"
9294,1947,6,sport
25767,1947,6,"économie"
33840,1947,7,culture
11144,1947,7,inclassable
119055,1947,7,international
86826,1947,7,politique
4785,1947,7,science/technologie
18394,1947,7,"société"
10999,1947,7,sport
18892,1947,7,"économie"
27336,1947,8,culture
11980,1947,8,inclassable
134064,1947,8,international
69814,1947,8,politique
2437,1947,8,science/technologie
22669,1947,8,"société"
6950,1947,8,sport
19241,1947,8,"économie"
35370,1947,9,culture
10563,1947,9,inclassable
116010,1947,9,international
57728,1947,9,politique
4397,1947,9,science/technologie
35892,1947,9,"société"
9836,1947,9,sport
20713,1947,9,"économie"
38486,1947,10,culture
10411,1947,10,inclassable
96101,1947,10,international
81766,1947,10,politique
1677,1947,10,science/technologie
30392,1947,10,"société"
5737,1947,10,sport
23294,1947,10,"économie"
30079,1947,11,culture
3889,1947,11,inclassable
90421,1947,11,international
75711,1947,11,politique
3256,1947,11,science/technologie
35637,1947,11,"société"
6489,1947,11,sport
19902,1947,11,"économie"
19982,1947,12,culture
5793,1947,12,inclassable
64424,1947,12,international
53107,1947,12,politique
694,1947,12,science/technologie
19641,1947,12,"société"
4275,1947,12,sport
16097,1947,12,"économie"
33129,1948,1,culture
9042,1948,1,inclassable
111863,1948,1,international
67253,1948,1,politique
3180,1948,1,science/technologie
17954,1948,1,"société"
9850,1948,1,sport
37863,1948,1,"économie"
32317,1948,2,culture
8408,1948,2,inclassable
106634,1948,2,international
54808,1948,2,politique
2919,1948,2,science/technologie
17789,1948,2,"société"
10191,1948,2,sport
32875,1948,2,"économie"
43321,1948,3,culture
11431,1948,3,inclassable
135003,1948,3,international
54511,1948,3,politique
2027,1948,3,science/technologie
25115,1948,3,"société"
9425,1948,3,sport
21258,1948,3,"économie"
42226,1948,4,culture
8712,1948,4,inclassable
122290,1948,4,international
54196,1948,4,politique
2513,1948,4,science/technologie
23526,1948,4,"société"
7743,1948,4,sport
19526,1948,4,"économie"
46188,1948,5,culture
11777,1948,5,inclassable
115263,1948,5,international
56046,1948,5,politique
3080,1948,5,science/technologie
17806,1948,5,"société"
11768,1948,5,sport
17104,1948,5,"économie"
45601,1948,6,culture
8956,1948,6,inclassable
107193,1948,6,international
81303,1948,6,politique
2702,1948,6,science/technologie
20045,1948,6,"société"
10467,1948,6,sport
23630,1948,6,"économie"
44264,1948,7,culture
15036,1948,7,inclassable
117251,1948,7,international
81430,1948,7,politique
4496,1948,7,science/technologie
18298,1948,7,"société"
16120,1948,7,sport
19241,1948,7,"économie"
44601,1948,8,culture
13398,1948,8,inclassable
124736,1948,8,international
72852,1948,8,politique
7961,1948,8,science/technologie
23362,1948,8,"société"
17244,1948,8,sport
24969,1948,8,"économie"
28564,1948,9,culture
12394,1948,9,inclassable
115206,1948,9,international
73770,1948,9,politique
1794,1948,9,science/technologie
25270,1948,9,"société"
11193,1948,9,sport
28556,1948,9,"économie"
44847,1948,10,culture
8452,1948,10,inclassable
118251,1948,10,international
54408,1948,10,politique
6429,1948,10,science/technologie
42945,1948,10,"société"
7339,1948,10,sport
22257,1948,10,"économie"
40006,1948,11,culture
9534,1948,11,inclassable
114890,1948,11,international
70335,1948,11,politique
3344,1948,11,science/technologie
27179,1948,11,"société"
7908,1948,11,sport
16323,1948,11,"économie"
48856,1948,12,culture
11947,1948,12,inclassable
143614,1948,12,international
80029,1948,12,politique
8169,1948,12,science/technologie
23432,1948,12,"société"
7445,1948,12,sport
33914,1948,12,"économie"
40934,1949,1,culture
8139,1949,1,inclassable
126731,1949,1,international
66942,1949,1,politique
4953,1949,1,science/technologie
23275,1949,1,"société"
9655,1949,1,sport
31722,1949,1,"économie"
35046,1949,2,culture
6808,1949,2,inclassable
109723,1949,2,international
81345,1949,2,politique
3465,1949,2,science/technologie
19978,1949,2,"société"
7525,1949,2,sport
21139,1949,2,"économie"
52425,1949,3,culture
12917,1949,3,inclassable
131324,1949,3,international
76631,1949,3,politique
4890,1949,3,science/technologie
16926,1949,3,"société"
11025,1949,3,sport
17256,1949,3,"économie"
46915,1949,4,culture
8620,1949,4,inclassable
142825,1949,4,international
49964,1949,4,politique
7185,1949,4,science/technologie
25516,1949,4,"société"
12877,1949,4,sport
30498,1949,4,"économie"
61704,1949,5,culture
14160,1949,5,inclassable
138271,1949,5,international
57312,1949,5,politique
10940,1949,5,science/technologie
27187,1949,5,"société"
16627,1949,5,sport
29330,1949,5,"économie"
52156,1949,6,culture
12347,1949,6,inclassable
122359,1949,6,international
71754,1949,6,politique
5318,1949,6,science/technologie
20901,1949,6,"société"
17679,1949,6,sport
28614,1949,6,"économie"
48611,1949,7,culture
10514,1949,7,inclassable
141967,1949,7,international
71203,1949,7,politique
2888,1949,7,science/technologie
24205,1949,7,"société"
19479,1949,7,sport
25629,1949,7,"économie"
47525,1949,8,culture
10305,1949,8,inclassable
160927,1949,8,international
38170,1949,8,politique
5341,1949,8,science/technologie
39854,1949,8,"société"
18538,1949,8,sport
18526,1949,8,"économie"
50466,1949,9,culture
10766,1949,9,inclassable
146594,1949,9,international
37140,1949,9,politique
8720,1949,9,science/technologie
29763,1949,9,"société"
14259,1949,9,sport
31566,1949,9,"économie"
58737,1949,10,culture
12145,1949,10,inclassable
154882,1949,10,international
79354,1949,10,politique
7612,1949,10,science/technologie
29222,1949,10,"société"
14614,1949,10,sport
22250,1949,10,"économie"
54374,1949,11,culture
9493,1949,11,inclassable
160950,1949,11,international
61255,1949,11,politique
6422,1949,11,science/technologie
25482,1949,11,"société"
14716,1949,11,sport
22784,1949,11,"économie"
71824,1949,12,culture
20417,1949,12,inclassable
167574,1949,12,international
78351,1949,12,politique
5999,1949,12,science/technologie
28539,1949,12,"société"
12668,1949,12,sport
